No,Kode,Nama Barang,Spesifikasi,Satuan
837,1.1.7.01.03.09.007.00077,Jas Hujan,"Type : Raincoat Color : Red Size : M,L,XL Material : TASLAN Weight : 0.990 Kg Dimension : 37 x 25 x 8 CM Application : Provides Excellent Waterproofing",STEL
838,1.1.7.01.03.09.007.00085,Lampu Senter,"Led; Senter Police T6, Kompas, Dengan Mode Terang, Medium, Remang, Sorot Dan Sos, Material Alluminium Alloy (+ Charger Ac Dan Mobil + 1 Tabung Lalin)",BUAH
839,1.1.7.01.03.09.007.00088,Senter Jinjing,"Lampu Led, Batere Charger Listrik",BUAH
840,1.1.7.01.03.09.007.00108,Terpal,-,LEMBAR
841,1.1.7.01.03.09.007.00142,Carabiner,"Aluminum Carabiner , Locking System : Triact-Lock, Unlocks Quickly By Raising And Then Turning The Sleeve",BUAH
842,1.1.7.01.03.09.007.00156,Jas Hujan,"Jenis Bahan : 0.18 Mm 170T Polyester/ Pvc, Warna : Fluorescent Orange, Bagian Kerah Dengan Velcro, Bagian Hood Tersimpan Dalam Kerah Dengan Menggunakan Zipper, Baju Bagian Depan Menggunakan Zipper Dan Kancing Penutup, 2 Buah Reflective Tape Ukuran 5 Cm Di",BUAH
843,1.1.7.01.03.09.007.00207,Lampu Senter Kepala LED,Kepala LED,BUAH
844,1.1.7.01.03.11.009.00055,Webbing Sling,"Width 5 "" x 5 ton x 4 m",BUAH
845,1.1.7.01.03.11.009.00058,Webbing Sling,10 ton x 10 m,BUAH
846,1.1.7.01.03.08.001.00071,Kabel Ties,"Lokal Standar Sni, 30",PACK
847,1.1.7.01.03.08.001.00220,Kabel Nyy,4X95 Mm2;,M
848,1.1.7.01.03.08.001.00255,Kabel Roll Listrik,"50 m, 220 Volt",ROLL
849,1.1.7.01.03.08.001.00306,Kabel Nym,3X2.5 Mm,M
850,1.1.7.01.03.08.001.00311,Kabel Nym,"Lokal Standar Sni, 3X2.5 Mm; Roll 50 M",ROLL
851,1.1.7.01.03.08.002.00081,Lampu Lalu Lintas,-,BUAH
852,1.1.7.01.03.08.002.00320,Lampu Bulb Led,9 Watt,BUAH
853,1.1.7.01.03.08.002.00321,Lampu Bulb Led,12 Watt,BUAH
854,1.1.7.01.03.08.002.50074,Lampu Bulb Led,30 Watt,BUAH
855,1.1.7.01.03.08.003.00006,Stop Kontak,Inbow,UNIT
856,1.1.7.01.03.08.008.00036,Fitting,Fitting Lampu E27,BUAH
857,1.1.7.01.03.08.009.00017,Accu,Pn. IV-G5104254-1,UNIT
858,1.1.7.01.03.08.009.00029,Accu Kering,Accu 12 Volt/ 200 Ah,BUAH
859,1.1.7.01.03.08.009.00031,Accu,12 V - 200 Ah,BUAH
860,1.1.7.01.03.08.009.00034,Accu,12V - 150 Ah,BUAH
861,1.1.7.01.03.08.012.00002,Tang Crimping,-,UNIT
862,1.1.7.01.03.08.012.00031,Mangkokan elektrik,Spesifikasi : kotak,PCS
863,1.1.7.01.03.08.012.00092,T-Dus instalasi listrik,Spesifikasi : cabang 3,PCS
864,1.1.7.01.03.01.001.00076,Box File,-,LUSIN
865,1.1.7.01.03.01.001.00093,Rautan,Besar,PCS
866,1.1.7.01.03.01.003.00004,Binder Clip,Nomor 260,PACK
867,1.1.7.01.03.01.003.00007,Binder Clip,Nomor 105,PACK
868,1.1.7.01.03.01.003.00012,Binder Clip,Nomor 155,KOTAK
869,1.1.7.01.03.01.003.00022,Binder Clip,Nomor 111,GROSS
870,1.1.7.01.03.01.003.00023,Binder Clip,Nomor 155,GROSS
871,1.1.7.01.03.01.004.00002,Penghapus Karet,Bahan Karet Isi 12,DUS
872,1.1.7.01.03.01.006.00029,Ordner Karton,Kwitansi,LUSIN
873,1.1.7.01.03.01.006.00060,Map Ordner,-,LUSIN
874,1.1.7.01.03.01.007.00001,Penggaris Besi,30 Cm,PCS
875,1.1.7.01.03.01.007.00003,Penggaris Besi,60 Cm,BUAH
876,1.1.7.01.03.01.007.05001,Pita Ukur,50 Meter; Bahan Nylon,BUAH
877,1.1.7.01.03.01.007.05004,Water Pass,Perkakas Kerja,UNIT
878,1.1.7.01.03.01.009.00011,Pita Mesin Tik Elektrik,-,BUAH
879,1.1.7.01.03.01.010.00046,LEM KERTAS,GLUE STICK 15 GRAM (1 PACK ISI 20 PCS),PACK
880,1.1.7.01.03.01.010.00105,Lem Pipa,-,BUAH
881,1.1.7.01.03.01.010.00127,Lem Kayu,-,KG
882,1.1.7.01.03.01.014.00036,Buku Agenda,Pembinaan Official Control,BUKU
883,1.1.7.01.03.01.014.00222,Lembar Tanda Terima Surat,-,BUKU
884,1.1.7.01.03.01.014.00677,Kwitansi Dinas,Ncr 1 Blok 25 Set 1 Set:3 Lembar,BUKU
885,1.1.7.01.03.01.014.00701,SKP PKB BBN-KB,"NCR Paper, 9,5 X 11 4 Ply, 1 Muka, 3 Warna, Nomorator, , Lembar I : Security paper 95 grm, Lembar II : NCR SCCB 60 gram, Lembar III : NCR middle 50 gram, Lembar IV : NCR bottom 55 gram, Batasnya harus mudah disobek, Tembusan/rangkap Terbaca jelas",SET
886,1.1.7.01.03.13.001.00094,SENDOK SEMEN,PANJANG GAGANG 12.5 CM. MATERIAL GAGANG KAYU PANJANG CETOK 17CM. LEBAR CETOK 9.5 CM TEBAL CETOK 0.8 MM MATERIAL CATOK BESI PLAT,BUAH
887,1.1.7.01.03.06.001.00013,Continous Form,4 Ply 14 7/8 x 11,BOX
888,1.1.7.01.03.06.004.00111,Refill Tinta Printer,Yellow,BUAH
889,1.1.7.01.03.06.004.00114,Refill Tinta Printer,Cyan,BUAH
890,1.1.7.01.03.06.004.00115,Refill Tinta Printer,Hitam,UNIT
891,1.1.7.01.03.06.004.00116,Refill Tinta Printer,Colour,BUAH
892,1.1.7.01.03.06.004.00156,Refill Tinta Printer,"16A [Q7516A], Series",UNIT
893,1.1.7.01.03.06.004.00252,Tinta Printer,Black,BUAH
894,1.1.7.01.03.06.004.00253,Tinta Printer,Colour,BUAH
895,1.1.7.01.03.06.004.00497,Tinta Printer,Fuji Xerox CT201634 Magenta,UNIT
896,1.1.7.01.03.06.004.00498,Tinta Printer,Fuji Xerox CT 201633 Cyan,UNIT
897,1.1.7.01.03.06.004.00499,Tinta Printer,Fuji Xerox CT 201632 Black,UNIT
898,1.1.7.01.03.06.004.00500,Tinta Printer,Fuji Xerox CT 201635 Yellow,UNIT
899,1.1.7.01.03.06.004.00536,Toner,Q7516A,BUAH
900,1.1.7.01.03.06.004.00657,Tinta/Toner,BROTHER INK YELLOW BT5000Y [BT-5000Y],UNIT
901,1.1.7.01.03.06.004.00658,Tinta/Toner,BROTHER INK MAGENTA BT5000M [BT-5000M],UNIT
902,1.1.7.01.03.06.004.00659,Tinta/Toner,BROTHER INK CYAN BT5000C [BT-5000C],UNIT
903,1.1.7.01.03.06.004.00660,Tinta/Toner,BROTHER BROTHER INK CARTRIDGE BTD60BK BLACK,UNIT
904,1.1.7.01.03.06.014.00022,Kabel Hdmi,-,UNIT
905,1.1.7.01.03.06.015.00002,Mouse dan Keyboard,Mouse dan KeyboardÂ Â (Spesifikasi : Logitech Keyboard Wireless Model/Type K400),UNIT
906,1.1.7.01.03.02.002.00017,Post It,Type 654 Warna,SET
907,1.1.7.01.03.02.004.50002,Amplop,Amplop coklat berlogo DKI Jakarta dan bertuliskan instansi,LEMBAR
908,1.1.7.01.03.07.001.00002,Kemoceng,Bahan Kayu Dan Bulu,BUAH
909,1.1.7.01.03.07.001.00005,Brush Wc,Berbahan Plastik,BUAH
910,1.1.7.01.03.07.001.00015,Pengki,Bahan Karet,BUAH
911,1.1.7.01.03.07.001.00017,Pengki,"Ukuran : Lebar 41 Cm, Bahan : Kulit Bambu Diberi Penguat",BUAH
912,1.1.7.01.03.07.001.00018,PENGKI,"UKURAN : 30X30 CM, GAGANG 55 CM, BAHAN : PLASTIK,",BUAH
913,1.1.7.01.03.07.001.00041,Sapu Nylon,"Bergagang; Ukuran : Standard, Model: Miring, Tangkai Berwarna, Bahan : Nylon,",BUAH
914,1.1.7.01.03.07.001.00049,Sikat Kamar Mandi,Bahan Nylon (Kayu Atau Plastik),BUAH
915,1.1.7.01.03.07.001.00056,Sikat Kawat,Besi,BUAH
916,1.1.7.01.03.07.001.00073,SAPU LIDI TAMAN,BAHAN KELAPA DENGAN GAGANG,BUAH
917,1.1.7.01.03.07.001.00087,Ijuk,Subtrat Ijuk,BUAH
918,1.1.7.01.03.07.002.00039,Busa Cuci,Piring; Spone Dua Permukaan,BUAH
919,1.1.7.01.03.07.002.00048,KANEBO,"BAHAN KARET, SERAT TEBAL",BUAH
920,1.1.7.01.03.07.002.00090,Kain lap majun,"Bahan / material untuk menggosok hasil pengecatan, bahan full cotton, warna putih",KG
921,1.1.7.01.03.07.003.00005,Selang Las Double,Standart Sni,BUAH
922,1.1.7.01.03.07.003.00018,Toren Air,500 L,BUAH
923,1.1.7.01.03.07.003.00024,Selang Kompressor,"Dia 8,5 mm",M
924,1.1.7.01.03.07.003.00038,EMBER PLASTIK,SEMEN,BUAH
925,1.1.7.01.03.07.003.00039,GAYUNG,-,BUAH
926,1.1.7.01.03.07.003.00060,Selang Spiral,"Uk. Dia 3 Inch, Berkualitas Dan Tahan Lama",M
927,1.1.7.01.03.07.003.00077,Toren Air,Ukuran 2000 Liter,BUAH
928,1.1.7.01.03.07.003.00093,Biotank,1000 L,BUAH
929,1.1.7.01.03.07.003.50023,Selang Kain,Uk. 3 mm,UNIT
930,1.1.7.01.03.07.003.50024,Selang Kain,Uk. 4 mm,UNIT
931,1.1.7.01.03.07.003.50025,Selang Spiral,Uk. 2 mm,M2
932,1.1.7.01.03.07.003.50026,Selang Spiral,Uk. 3 mm,M2
933,1.1.7.01.03.07.003.50028,Selang Spiral,Uk. 4 mm,M2
934,1.1.7.01.03.07.004.00062,Tempat sampah bulat,"bahan plastik, bentuk bulat keranjang tanpa tutup, kapasitas 10 liter, tinggi minimal 24 cm, lebar diameter atas minimal 24 cm",BUAH
935,1.1.7.01.03.07.005.00100,Kunci Torsi,"Ukuran Sok : 1/2"" Kapasitas : 12 - 68 N.m Panjang: 505 mm",BUAH
936,1.1.7.01.03.07.005.00112,Gembok,Padlock Pl 51Mm,BUAH
937,1.1.7.01.03.07.006.00022,Ascender Jumar,"Ropes 8 - 13 Mm, Weight : 195 G, Breaking Strength 4Kn - 6,5 Kn",BUAH
938,1.1.7.01.03.07.006.00026,Tali Karmantel,Standard,ROLL
939,1.1.7.01.03.07.006.50027,Benang Bangunan,-,PCS
940,1.1.7.01.03.07.007.00167,Floor Drain,Floor Drain,BUAH
941,1.1.7.01.03.07.008.00024,Cairan Anti Karat,Wd 40 Uk. 300 Ml,KALENG
942,1.1.7.01.03.07.008.00088,SABUN CUCI PIRING,800 ML,BOTOL
943,1.1.7.01.03.07.008.00099,SABUN CUCI TANGAN,REFILL 410 ML,BUAH
944,1.1.7.01.03.07.012.00002,Kamper,isi 5,BUNGKUS
945,1.1.7.01.03.07.012.00032,Pengharum Ruangan,-,BUAH
946,1.1.7.01.03.07.014.00012,Grendel,-,SET
947,1.1.7.01.03.07.015.00082,Tenda Gulung,-,METER
948,1.1.7.01.03.07.015.00441,TEMPAT SAMPAH,KECIL,BUAH
949,1.1.7.01.03.07.015.00466,Gantungan Baju,Kapstok Alumunium,LUSIN
950,1.1.7.01.01.04.001.00013,Solar Non subsidi,Solar Non subsidi industri,LITER
951,1.1.7.01.01.04.002.00056,Oli,SAE 10,LITER
952,1.1.7.01.01.04.002.00057,Oli,SAE 20,LITER
953,1.1.7.01.01.04.002.00120,Oli Mesin Diesel,Meditran Sx,LITER
954,1.1.7.01.01.04.002.00192,Oli,Oli 10W-40,LITER
955,1.1.7.01.01.04.003.00051,Oli Hidrolik,-,LITER
956,1.1.7.01.01.04.003.00089,Oli Gardan,Sae 140,LITER
957,1.1.7.01.01.04.003.00091,Oli Persneling,Sae 90,GALON
958,1.1.7.01.01.05.001.00006,Kawat Las,"Dia. 2,6 mm",KG
959,1.1.7.01.01.05.001.00035,Kawat Ikat,1 2 mm,KG
960,1.1.7.01.01.05.001.05001,Kawat Seling,Sling 8 mm baja / meter,METER
961,1.1.7.01.01.05.002.00018,Dolken,-,BATANG
962,1.1.7.01.01.05.002.00020,Kaso,7/12,BATANG
963,1.1.7.01.01.05.002.00021,Kayu Papan,Ukuran 3x20x400 cm,LEMBAR
964,1.1.7.01.01.05.002.00034,Kruing,Reng Uk. 2X3X400 Cm,M3
965,1.1.7.01.01.05.002.00049,Kayu Lapis,Triplek Uk.122X244X9 Mm,LEMBAR
966,1.1.7.01.01.05.002.00054,Kayu Lapis,Triplek Tebal 4 Mm,LEMBAR
967,1.1.7.01.01.01.002.00026,Semen Grouting,-,KG
968,1.1.7.01.01.01.003.00003,Kaca Bening,5 Mm,M2
969,1.1.7.01.01.01.003.00004,Kaca Bening,8 Mm,M2
970,1.1.7.01.01.01.004.00015,Pasir Urug,-,M3
971,1.1.7.01.01.01.004.00016,Pasir Pasang,-,M3
972,1.1.7.01.01.01.004.50002,Makadam,Ukuran 5/7,M3
973,1.1.7.01.01.01.005.00008,Batu Pecah,Ukuran 1/2 Cm,M3
974,1.1.7.01.01.01.005.00010,Batu Pecah,Ukuran 3/5,M3
975,1.1.7.01.01.01.005.00011,Batu Pecah,Ukuran 5/7,M3
976,1.1.7.01.01.01.005.00012,Batu Kali,Ukuran 15/20,M3
977,1.1.7.01.01.01.005.00017,Batu Kerikil,Beton,M3
978,1.1.7.01.01.01.005.00020,BATU BATA,MERAH KELAS 2,BUAH
979,1.1.7.01.01.01.005.00039,Blander Las Potong,Standart Sni,BUAH
980,1.1.7.01.01.01.005.00047,Nok Asbes gelombang,-,LEMBAR
981,1.1.7.01.01.01.005.00048,Bata Ringan,-,BUAH
982,1.1.7.01.01.01.005.00049,Paving Stone,-,BUAH
983,1.1.7.01.01.01.006.00039,Cat Besi,Warna Kuning,KG
984,1.1.7.01.01.01.006.00100,Pylox,Merah dan Putih,BUAH
985,1.1.7.01.01.01.006.00109,Cat Tembok,Dalam Warna Kuning,BUAH
986,1.1.7.01.01.01.006.00110,Cat Tembok,Luar Warna Merah,KG
987,1.1.7.01.01.01.006.00111,Cat Meni Besi,Ukuran 1 kg,KG
988,1.1.7.01.01.01.006.00112,Cat Besi,Warna Biru Ukuran 1 Kg,KG
989,1.1.7.01.01.01.006.00113,Cat Dasar proviseler,-,KG
990,1.1.7.01.01.01.006.00114,Cat Besi,Warna Hijau Ukuran 1 Kg,KG
991,1.1.7.01.01.01.006.00115,Cat tembok,25 Kg,KG
992,1.1.7.01.01.01.006.00116,Cat tembok,Dalam Warna Merah Ukuran 5 Kg,GALON
993,1.1.7.01.01.01.006.00173,Cat Penutup,Cat Tembok,KG
994,1.1.7.01.01.01.006.00191,Cat Dasar,-,KG
995,1.1.7.01.01.01.006.00197,Pylox,Cat Semprot (Warna Optional),BOTOL
996,1.1.7.01.01.01.006.00200,Cat tembok,Spesifikasi : luar (weather shield) warna putih,PAIL
997,1.1.7.01.01.01.007.00010,Asbes Gelombang Kecil,Uk. 240 Cm X 105 Cm X 4 Mm,LEMBAR
998,1.1.7.01.01.01.008.00002,Grendel Jendela,Rambuncis Alumunium,PCS
999,1.1.7.01.01.01.008.00003,Kunci Silinder,-,SET
1000,1.1.7.01.01.01.008.00026,Plat Baja,"Tebal 25 mm panjang 2.4 m, lebar 2.4 m",KG
1001,1.1.7.01.01.01.008.00043,Plat Baja,Tebal 5 Mm,KG
1002,1.1.7.01.01.01.008.00045,Besi plat hitam tebal,4 mm,KG
1003,1.1.7.01.01.01.011.00027,Panel Pagar Precast Mutu K225,5X40X240 Cm,BUAH
1004,1.1.7.01.01.01.011.00032,Tutup Manhole Utilitas 600 x 1200 (HD),"Terpasang, Bahan Precast Ukuran 600 x 1200 cm, Mutu Beton K 350 Jenis HD, Menggunakan Besi Siku",UNIT
1005,1.1.7.01.01.01.011.00033,Tutup manhole utilitas Bahan Composite,"Terpasang, Bahan composite Ukuran 1000 x 1200 cm, termasuk frame",UNIT
1006,1.1.7.01.01.01.011.00034,Tutup manhole utilitas Bahan Composite,"Terpasang, Bahan composite Ukuran 1800 x 1200 cm, termasuk frame",UNIT
1007,1.1.7.01.01.01.011.00046,Menara Air,Tinggi 3 m,BUAH
1008,1.1.7.01.01.01.012.00010,Besi Siku,Uk. 30.30.3 Panjang 6 M,BATANG
1009,1.1.7.01.01.01.012.00020,Besi Unp,65,BATANG
1010,1.1.7.01.01.01.012.00030,Besi Hollow,30X30 Mmx6 M,BATANG
1011,1.1.7.01.01.01.012.00061,Besi Plat Strip,3x30x6000 mm,BATANG
1012,1.1.7.01.01.01.012.00064,Besi Siku,L 70,BATANG
1013,1.1.7.01.01.01.012.00065,Besi Siku,Uk. 50.50.5 Panjang 6 M,BATANG
1014,1.1.7.01.01.01.012.00077,Besi Beton,"Dia 12 Mm, 12M",BATANG
1015,1.1.7.01.01.01.012.00115,Besi Plat,"Tebal 8, 9, 10 Mm",KG
1016,1.1.7.01.01.01.013.00001,Keramik Dinding Polos,Ukuran 20x10 Cm,M2
1017,1.1.7.01.01.01.013.00002,Keramik Dinding Polos,Ukuran 20x20 Cm,M2
1018,1.1.7.01.01.01.013.00025,Keramik,Floor/ Wall Tile Uk. 20X20 Cm,M2
1019,1.1.7.01.01.01.013.00036,Keramik,Dinding/ Lantai Uk. 40X40 Seri M4P,M2
1020,1.1.7.01.01.01.013.00087,Grass Blok,uk 2000,BUAH
1021,1.1.7.01.01.01.014.00001,Metal Roof Imw type 2x4 P. 770 mm,-,LEMBAR
1022,1.1.7.01.01.01.014.00014,Nok Genteng Plentong,Glazzur,BUAH
1023,1.1.7.01.01.01.015.00006,U-Ditch,Panjang Efektif 1.20 M U 300/ 400,UNIT
1024,1.1.7.01.01.01.015.00007,U-Ditch,Panjang Efektif 1.20 M U 400/ 300,UNIT
1025,1.1.7.01.01.01.015.00014,U-Ditch,Panjang Efektif 1.20 M U 800/ 1000,UNIT
1026,1.1.7.01.01.01.015.00021,Box Culvert,"Bc 1500X1500 Light Duty Panjang 1,00 M",UNIT
1027,1.1.7.01.01.01.015.00030,Tutup U-Ditch,"Tutup U 400 Light Duty Panjang Efektif 0,60 M",UNIT
1028,1.1.7.01.01.01.015.00031,Tutup U-Ditch,"Tutup U 600 Light Duty Panjang Efektif 0,60 M",UNIT
1029,1.1.7.01.01.01.015.00032,Tutup U-Ditch,"Tutup U 800 Light Duty Panjang Efektif 0,60 M",UNIT
1030,1.1.7.01.01.01.015.00034,Tutup U-Ditch,"Tutup U 1200 Light Duty Panjang Efektif 0,60 M",UNIT
1031,1.1.7.01.01.01.015.00035,Tutup U-Ditch,"Tutup U 300 High Duty Panjang Efektif 0,60 M",UNIT
1032,1.1.7.01.01.01.015.00083,U-Ditch,Ukuran 800x800x1200 Mm,BUAH
1033,1.1.7.01.01.01.015.00085,U-Ditch,"Ukuran 1000x1000x80/100-1,2 M",UNIT
1034,1.1.7.01.01.01.015.00086,U-Ditch,"Ukuran 300x400x45x50-1,2 M",UNIT
1035,1.1.7.01.01.01.015.00087,Tutup U-Ditch,"Ukuran UI000 1180x152-0,6 ( T2)",UNIT
1036,1.1.7.01.01.01.015.00088,U-ditch,1500x1500 mm,UNIT
1037,1.1.7.01.01.01.015.00092,Box Culvert,-,UNIT
1038,1.1.7.01.01.01.015.00108,Buis Beton,"Dia 1m tinggi 0,5 m",BUAH
1039,1.1.7.01.01.01.015.00149,Box Culvert,"Bc 2500X2500 High Duty Panjang 1,00 M",UNIT
1040,1.1.7.01.01.01.015.05001,Cetakan Buis Beton,100x50 cm,UNIT
1041,1.1.7.01.01.01.016.00003,Plat Strip uk 4x 30 mm P 6,-,M
1042,1.1.7.01.01.01.016.00008,Plat Alumunium,-,M2
1043,1.1.7.01.01.01.016.00017,Plat Strip,uk 4x 30 mm P 6,KG
1044,1.1.7.01.01.01.016.05001,Plat Lubang,Panjang 1.20 mm Lebar 2.40 mm Tebal 1.50 mm Diameter Lubang 6 mm,LEMBAR
1045,1.1.7.01.01.01.016.05002,Plat Polos Acer,120x240x2 mm,LEMBAR
1046,1.1.7.01.01.01.016.05003,Plat Polos Acer,120x240x3 mm,LEMBAR
1047,1.1.7.01.01.01.016.05004,Plat Polos Acer,120x240x20 mm,LEMBAR
1048,1.1.7.01.01.01.016.05005,Plat Polos Acer,120x240x4 mm,LEMBAR
1049,1.1.7.01.01.01.016.05006,Plat Polos Acer,120x240x25 mm,LEMBAR
1050,1.1.7.01.01.01.018.00018,Tutup Manhole Bahan Precast (HD) 500 x 1200,-,UNIT
1051,1.1.7.01.01.01.018.00019,Tutup Manhole Bahan Precast (HD) 600 x 1200,-,UNIT
1052,1.1.7.01.01.01.018.05001,Tutup Manhole,Bahan Composite 1800 x 1200,SET
1053,1.1.7.01.01.01.021.00030,Thinner,Cat,LITER
1054,1.1.7.01.01.01.022.00005,Tembakan Sealant,"Alumunium caulking gun, 600ml",BUAH
1055,1.1.7.01.01.01.022.00015,Closet Jongkok,Duty,BUAH
1056,1.1.7.01.01.01.025.00004,Alumuium Strip,-,M
1057,1.1.7.01.01.01.025.00007,Alumunium,-,BATANG
1058,1.1.7.01.01.01.026.00004,Meteran,100 M,BUAH
1059,1.1.7.01.01.01.027.00029,Paku Rivet,Uk 3.2 mm isi 1000 pcs,DUS
1060,1.1.7.01.01.02.002.00021,Hand Sanitizer,-,BOTOL
1061,1.1.7.01.01.08.002.50144,Rumput Gajah Mini,"Sehat, subur, bebas hama",M2
1062,1.1.7.01.05.01.002.00005,Pagar,Brc 120.240 Cm,UNIT
1063,1.1.7.01.05.01.004.00008,Genset Portabel (1 Kva),"Genset 1KVA (Generator Set), output rata rata 1.00 KVA (at 50 Hz), voltase 220 V/ 1 Phase, tipe mesin 4 Stroke, Air-Cooled, Side Valve, 1 Cylinder OHV, kapasitas bbm 5.5 L, kapasitas oli 0.5 L",UNIT
1064,1.1.7.01.05.01.004.00030,Gerindra Potong,-,BUAH
1065,1.1.7.01.05.01.004.00036,BLOWER,UKURAN STANDAR,UNIT
1066,1.1.7.01.05.01.004.00040,Tenda Bursa,Kerucut 3 X 3,BUAH
1067,1.1.7.01.05.01.004.00041,Tenda Gulung,Bahan Terpal ukuran 4 x 6 m,BUAH
1068,1.1.7.01.05.01.004.00088,Katrol,Takel,UNIT
1069,1.1.7.01.05.01.004.00128,Handy Talky (Ht),-,UNIT
1070,1.1.7.01.05.01.004.00185,Tabung Gas,12 Kg,BUAH
1071,1.1.7.01.05.01.004.00200,Mesin Potong Rumput,"Mesin Potong Rumput 4 Tak Setara Tagawa Model : Bg-431 Type Mesin 4-Stroke, 139 F Type Carburator : Diaphragm, Berat 12,5 Kg, Displacement : 31 Cc, Tenaga Maximum : 0.7 (Kw) 6500 (Rpm), Panjang Blade : 255Mm, Bahan Bakar : Bensin, Sistem Ignition : Electronic Ignition, Sistem Penyalaan : Recoil, Kapasitas Bahan Bakar : 1.Ol",BUAH
1072,1.1.7.01.05.01.004.00203,Mesin Potong Rumput,(Brush Cutter) Model Gendong,UNIT
1073,1.1.7.01.05.01.004.00245,Pompa Jet Pump,500 Watt,UNIT
1074,1.1.7.01.05.01.004.00249,TOOL KIT,KOMPLIT,SET
1075,1.1.7.01.05.01.004.00253,HOLDER LAS,500 AMP,BUAH
1076,1.1.7.01.05.01.004.00258,Solder Listrik,220 Volt/ 25 Watt,UNIT
1077,1.1.7.01.05.01.004.00272,Mata Gerinda,Perkakas Kerja,UNIT
1078,1.1.7.01.05.01.004.00278,Mesin Bor,Cordless impact drill,UNIT
1079,1.1.7.01.05.01.004.00280,TROLI BARANG,-,UNIT
1080,1.1.7.01.05.01.004.00306,Pompa Irigasi Alkon,-,UNIT
1081,1.1.7.01.05.01.004.00343,Mesin Las,Listrik,UNIT
1082,1.1.7.01.05.01.004.00401,TANGGA ALUMUNIUM,TANGGA LIPAT,BUAH
1083,1.1.7.01.05.01.004.00565,Mesin Absensi,Absensi,UNIT
1084,1.1.7.01.05.01.004.00601,Gerinda,-,PCS
1085,1.1.7.01.05.01.004.00612,Palu Godam,-,BUAH
1086,1.1.7.01.05.01.004.00641,Mesin Molen,Kapasitas 450 liter,UNIT
1087,1.1.7.01.05.01.004.00761,Closet Duduk,Komplit,SET
1088,1.1.7.01.05.01.004.00845,Mesin Potong Gergaji Kayu,-,UNIT
1089,1.1.7.01.05.01.004.00846,Stemper Kuda,Tamping Rammer RM 80,UNIT
1090,1.1.7.01.05.01.004.50326,Hydrolic Hand Pallet,-,UNIT
1091,1.1.7.01.05.01.009.00020,Tenda kerucut,-,BUAH
1092,1.1.7.02.01.06.002.00008,Pagar BRC,175mm x 240mm x 7mm,UNIT
1093,1.1.7.02.01.06.003.00008,Engsel Pintu,"Kuningan 3""",BUAH
1094,1.1.7.02.01.06.003.00052,Karet Kusen Aluminium,-,M
1095,1.1.7.02.01.06.003.00062,Grendel Pintu/ slot Pintu,panjang= 45 Cm,SET
1096,1.1.7.02.01.06.003.00081,Engsel,-,SET
1097,1.1.7.02.01.04.001.00228,Traffic Cone,Safety Alat Pengatur Lalu Lintas Berbentuk Kerucut Berwarna Orange,BUAH
1098,1.1.7.02.02.03.004.00033,Pipa Galvanis,"Dia 1-1/2"" 6m Medium B",BATANG
1099,1.1.7.02.02.03.004.00039,Klem Pipa,"Diameter 1,5 Inch",BUAH
1100,1.1.7.02.02.04.001.00029,Tee Ukuran 3/ 4,Type Aw,BUAH
1101,1.1.7.02.02.04.001.00035,Tee,Sambungan Pipa Hitam,BUAH
1102,1.1.7.02.02.06.001.00007,Pipa Pvc Dia. 1 1/ 4,Type Aw,BATANG
1103,1.1.7.02.02.06.001.00008,"Pipa Pvc Dia. 1,5",Type Aw,BATANG
1104,1.1.7.02.02.06.001.00020,"Sok Pipa 1""",-,BUAH
1105,1.1.7.02.02.06.001.00043,Pipa Paralon,"5/ 8"" Lokal",BUAH
1106,1.1.7.02.02.06.001.00063,"Faucet Socket Pipa PVC Aw 1""",-,SET
1107,1.1.7.02.02.06.001.00064,"Faucet Soket Piqa PVC 1 1/2 AW""",-,SET
1108,1.1.7.02.02.06.001.00065,"Klem Pipa PVC AW 1 1/2""",-,SET
1109,1.1.7.02.02.06.001.00066,"Faucet Elbow Pipa PVC Aw 1/2""",-,SET
1110,1.1.7.02.02.06.001.00067,"Faucet Socket Pipa PVC Aw 1/2""",-,SET
1111,1.1.7.02.02.06.001.00068,"Klem Pipa PVC AW 1/2""",-,SET
1112,1.1.7.02.02.06.001.00069,"Faucet Elbow Pipa PVC Aw 3/4""",-,SET
1113,1.1.7.02.02.06.001.00070,"Faucet Socket Pipa PVC Aw 3/4""",-,SET
1114,1.1.7.02.02.06.001.00071,"Klem Pipa PVC AW 2""",-,BUAH
1115,1.1.7.02.02.06.001.00072,"Klem Pipa PVC AW 4""",-,BUAH
1116,1.1.7.02.02.06.001.00073,"Faucet Elbow Pipa PVC Aw 1""",-,SET
1117,1.1.7.02.02.06.001.00074,Klem Pipa,Diameter 6 inci,BUAH
1118,1.1.7.02.02.06.001.00100,Elbow PVC,"dia 4""",BUAH
1119,1.1.7.02.02.06.001.00112,"Socket Pvc Uk. 2""",Type Aw,BUAH
1120,1.1.7.02.02.06.001.00148,"Elbow 4""",Type AW,BUAH
1121,1.1.7.02.02.06.001.00162,"Elbow 1""",Type AW,BUAH
1122,1.1.7.02.02.06.001.00163,"Socket 1""",Type AW,BUAH
1123,1.1.7.02.02.06.001.00167,"Socket 1-1/2""",Type AW,BUAH
1124,1.1.7.02.02.06.001.00177,"Tee 1""",Type AW,BUAH
1125,1.1.7.02.02.06.001.00210,Daktip Pipa,Lokal,BUAH
